address,price,square_footage
"Acton, CA 93510","$689,000",1780
"Inglewood, CA 90305","$785,500",1410
"Tarzana, CA 91356","$2,699,000",7200
"Temple City, CA 91780","$1,289,000",1617
"San Dimas, CA 91773","$550,000",1.04
"Los Angeles, CA 90018","$1,999,999",3830
"Wrightwood, CA 92397","$322,000",
"Acton, CA 93510","$1,600,000",1600
"Los Angeles, CA 90056","$2,999,999",2764
"Pasadena, CA 91107","$1,399,000",1239
"Woodland Hills, CA 91364","$1,440,000",1615
"Hawthorne, CA 90250","$1,399,000",2265
"Hacienda Heights, CA 91745","$399,000",612
"Sherman Oaks North, CA 91401","$1,479,000",
"Palmdale, CA 93552","$500,000",1851
"Los Angeles, CA 90065","$489,500",
"Whittier, CA 90605","$799,000",1141
"Hermosa Beach, CA 90254","$799,999",531
"Pacoima, CA 91343","$649,000",1297
"Compton, CA 90222","$425,000",4460
"Palmdale, CA 93551","$105,000",1.25
"Whittier, CA 90606","$830,000",7177
"Hermosa Beach, CA 90254","$7,500,000",4247
"North Hollywood, CA 91605","$1,099,000",15695
"pomona, CA 91768","$700,000",1616
"San Pedro, CA 90732","$982,360",1873
"Valencia, CA 91381","$742,392",2124
"Santa Clarita, CA 91350","$1,143,577",3214
"Valencia, CA 91354","$1,505,876",4522
"Castaic, CA 91384","$1,396,088",3209
"Castaic, CA 91384","$1,292,430",3209
"Whittier, CA 90601","$917,600",
"Valencia, CA 91381","$1,149,990",3252
"Valencia, CA 91381","$1,134,990",3269
"Valencia, CA 91381","$1,144,990",3191
"Valencia, CA 91381","$1,059,990",2843
"Valencia, CA 91381","$1,024,990",2843
"Torrance, CA 90504","$1,059,990",2252
"Torrance, CA 90504","$934,990",1731
"Torrance, CA 90504","$914,990",1724
"Torrance, CA 90504","$914,990",1724
"Glendora, CA 91741","$1,697,540",3274
"Pomona, CA 91767","$879,990",1891
"San Pedro, CA 90732","$1,291,460",2233
"Valencia, CA 91381","$1,230,156",2800
"Valencia, CA 91381","$714,437",1866
"Castaic, CA 91384","$1,762,752",4156
"Castaic, CA 91384","$1,518,900",4156
"Castaic, CA 91384","$1,349,900",3209
"Castaic, CA 91384","$1,191,900",3209
"Castaic, CA 91384","$1,361,695",3320
"Valencia, CA 91385","$997,532",1736
"Upland, CA 91786","$748,000",1970
"Upland, CA 91786","$750,100",1970
"Upland, CA 91786","$730,100",1868
"Upland, CA 91786","$730,400",1868
"Upland, CA 91786","$712,174",1761
"Upland, CA 91786","$692,473",1651
"Montebello, CA 90640","$1,027,990",2034
"Glendora, CA 91741","$1,688,155",2854
"Lancaster, CA 93536","$657,054",3040
"Lancaster, CA 93536","$617,625",2660
"Lancaster, CA 93534","$518,924",2080
"Torrance, CA 90504","$899,990",1724
"Porter Ranch, CA 91326","$2,858,995",4107
"Porter Ranch, CA 91326","$2,565,995",4270
"Porter Ranch, CA 91326","$2,850,995",4109
"Porter Ranch, CA 91326","$2,467,995",3984
"West Covina, CA 91790","$641,295",1216
"Pomona, CA 91768","$612,952",1497
"Pomona, CA 91768","$577,952",1217
"Torrance, CA 90501","$826,074",1477
"Pomona, CA 91767","$599,990",1536
"Chatsworth, CA 91311","$1,969,995",5377
"Chatsworth, CA 91311","$2,067,995",4709
"Long Beach, CA 90814","$845,566",
"Whittier, CA 90601","$897,600",1680
"Whittier, CA 90601","$913,600",1656
"Whittier, CA 90601","$897,600",
"Whittier, CA 90601","$913,600",
"Valencia, CA 91381","$984,990",2246
"Pomona, CA 91766","$634,990",1536
"Pomona, CA 91766","$889,990",1924
"Pomona, CA 91766","$909,990",2034
"Pomona, CA 91766","$654,990",1631
"Pomona, CA 91766","$869,990",1891
"Pomona, CA 91767","$898,265",1891
"Valencia, CA 91381","$756,551",1764
"Lancaster, CA 93534","$581,288",3040
"Lancaster, CA 93536","$569,990",2127
"Lancaster, CA 93536","$622,990",2406
"Valencia, CA 91381","$838,023",1800
"Lancaster, CA 93534","$556,904",2665
"Lancaster, CA 93534","$502,266",2080
"Valencia, CA 91381","$827,990",1986
"North Hollywood, CA 91606","$987,500",1800
